family,block,K_selected,entropy.x,country,icl,bic,entropy.y
díaz_ordaz,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
díaz_vélez,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
díez_marina,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
eastman,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
echagüe,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
echandía,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
echaurren,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
echavarría,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
echenique,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
eder,2,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
edwards,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
eguiguren,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
elmore,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
eléspuru,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
elías,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
elías-calles,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
elías-gonzález,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
errázuriz,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
escalada,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
escalada_(de_burgos),1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
escobar_gaviria,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
esguerra,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
estenssoro,1,2,512.0424614125509,bolivia,4987.040832507677,3962.955909682575,512.0424614125509
estrada,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
estrada_ecuador,1,2,512.0424614125509,ecuador,4987.040832507677,3962.955909682575,512.0424614125509
etcheberry,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
falú,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
familias_fundadoras_de_chile,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
farfán,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
farías,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
febres-cordero,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
feliú,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
fernandini,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
fernández-maldonado,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
fernández_chicarro,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
fernández_cornejo,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
fernández_de_jáuregui,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
fernández_de_soto,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
fernández_veraud,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
ferrero,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
ferreyros,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
flores_magón,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
fontaina,1,2,512.0424614125509,uruguay,4987.040832507677,3962.955909682575,512.0424614125509
fontaine,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
fontbona,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
fortabat,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
frayssinet,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
frei,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
freire,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
freundt,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
frigerio,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
fuentes_berain,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
fujimori,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
galeana,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
galeano,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
