url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Iturbide_y_Green,0,0,0,0,0,Agustín de Iturbide y Green,iturbide,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Salazar_y_Mu%C3%B1atones,0,0,0,0,0,Agustín de Salazar y Muñatones,salazar_y_muñatones,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agustina_L%C3%B3pez_de_Osornio,2,25,12,10,0,Agustina López de Osornio,garcía-mansilla,argentina,49,0.04081632653061224,0.5102040816326531,0.24489795918367346,0.20408163265306123,0
https://es.wikipedia.org/wiki/Agustina_Ortiz_de_Rozas,30,0,6,0,0,Agustina Ortiz de Rozas,garcía-mansilla,argentina,36,0.8333333333333334,0,0.16666666666666666,0,0
https://es.wikipedia.org/wiki/Agustina_Paz,0,2,0,0,0,Agustina Paz de Roca,roca,argentina,2,0,1,0,0,0
https://es.wikipedia.org/wiki/Agustina_Paz_de_Roca,9,0,0,0,0,Agustina Paz de Roca,paz,argentina,9,1,0,0,0,0
https://es.wikipedia.org/wiki/Aiden_English,1,0,0,0,0,Matthew Rehwoldt,guerrero,mexico,1,1,0,0,0,0
https://es.wikipedia.org/wiki/Aislinn_Derbez,2,0,0,0,0,Aislinn Derbez,derbez,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Bachelet,4,0,0,0,0,Alberto Bachelet,bachelet,chile,4,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Baill%C3%A8res_Gonz%C3%A1lez,2,0,0,2,0,Alberto Baillères González,baillères,mexico,4,0.5,0,0,0.5,0
https://es.wikipedia.org/wiki/Alberto_Ballerini,0,0,0,0,0,Alberto Ballerini,podestá,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Benavides_Ganoza,0,0,0,0,0,Alberto Benavides Ganoza,benavides_perú,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Benavides_de_la_Quintana,4,0,0,0,0,Alberto Benavides de la Quintana,benavides_perú,peru,4,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Benegas_Lynch_%28hijo%29,2,0,0,0,0,Alberto Benegas Lynch (hijo),benegas,argentina,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Benegas_Lynch_%28nieto%29,0,0,0,0,0,Alberto Benegas Lynch (nieto),benegas,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Benegas_Lynch_%28padre%29,0,0,0,0,0,Alberto Benegas Lynch (padre),benegas,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Camacho_Leyva,0,0,0,0,0,Alberto Camacho Leyva,camacho,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Casas_Santamar%C3%ADa,0,0,0,0,0,Alberto Casas Santamaría,casas,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Donad%C3%ADo,0,0,0,0,0,Alberto Donadío,galvis_galavís,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Elmore,0,0,0,0,0,Alberto Elmore,elmore,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Fujimori,6,0,0,0,0,Alberto Fujimori,fujimori,peru,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Gallinal_Heber,0,0,0,0,0,Alberto Gallinal Heber,heber,uruguay,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_H%C3%A9ber_Usher,0,0,0,0,0,Alberto Héber Usher,heber,uruguay,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Galilea,0,0,0,0,0,Alberto Labbé Galilea,galilea,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Troncoso,2,0,0,0,0,Alberto Labbé Troncoso,galilea,chile,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,6,0,3,0,0,Alberto Lleras Camargo,camargo,colombia,9,0.6666666666666666,0,0.3333333333333333,0,0
https://es.wikipedia.org/wiki/Alberto_Lleras_Puga,6,0,0,0,0,Alberto Lleras Puga,camargo,colombia,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Lozano_Simonelli,0,0,1,0,0,Alberto Lozano Simonelli,lozano,colombia,1,0,0,1,0,0
https://es.wikipedia.org/wiki/Alberto_Mar%C3%ADa_Candioti,0,0,0,0,0,Alberto María Candioti,candioti,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Mario_Pumarejo,0,0,0,0,0,Alberto Mario Pumarejo,pumarejo,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alberto_Montt_Montt,4,0,0,0,0,Alberto Montt Montt,montt,chile,4,1,0,0,0,0
